ticker,timestamp,open,high,low,close,volume,interval
SPY,2016-06-20T00:00:00+00:00,208.820007,209.610001,207.75,207.850006,82789600.0,daily
SPY,2016-06-21T00:00:00+00:00,208.300003,208.919998,207.779999,208.440002,72461700.0,daily
SPY,2016-06-22T00:00:00+00:00,208.649994,209.5,207.929993,208.100006,95560500.0,daily
SPY,2016-06-23T00:00:00+00:00,209.809998,210.869995,209.270004,210.809998,102731400.0,daily
SPY,2016-06-24T00:00:00+00:00,203.630005,210.850006,202.720001,203.240005,333444400.0,daily
SPY,2016-06-27T00:00:00+00:00,201.589996,201.600006,198.649994,199.600006,230775800.0,daily
SPY,2016-06-28T00:00:00+00:00,201.479996,203.229996,201.119995,203.199997,159382400.0,daily
SPY,2016-06-29T00:00:00+00:00,204.839996,206.929993,204.720001,206.660004,137328600.0,daily
SPY,2016-06-30T00:00:00+00:00,207.210007,209.539993,206.559998,209.479996,165021900.0,daily
SPY,2016-07-01T00:00:00+00:00,209.479996,210.490005,209.289993,209.919998,106055300.0,daily
SPY,2016-07-05T00:00:00+00:00,208.949997,209.080002,207.710007,208.410004,109803700.0,daily
SPY,2016-07-06T00:00:00+00:00,207.830002,209.800003,207.059998,209.660004,96021500.0,daily
SPY,2016-07-07T00:00:00+00:00,209.869995,210.649994,208.630005,209.529999,85593800.0,daily
SPY,2016-07-08T00:00:00+00:00,211.050003,212.940002,210.779999,212.649994,133971000.0,daily
SPY,2016-07-11T00:00:00+00:00,213.190002,214.070007,212.949997,213.399994,73633900.0,daily
SPY,2016-07-12T00:00:00+00:00,214.529999,215.300003,213.429993,214.949997,101275600.0,daily
SPY,2016-07-13T00:00:00+00:00,215.440002,215.449997,214.350006,214.919998,87324100.0,daily
SPY,2016-07-14T00:00:00+00:00,216.399994,216.669998,215.660004,216.119995,91230900.0,daily
SPY,2016-07-15T00:00:00+00:00,216.779999,217.009995,215.309998,215.830002,107155400.0,daily
SPY,2016-07-18T00:00:00+00:00,215.970001,216.600006,215.669998,216.410004,58725900.0,daily
SPY,2016-07-19T00:00:00+00:00,215.919998,216.229996,215.630005,216.190002,54345700.0,daily
SPY,2016-07-20T00:00:00+00:00,216.190002,217.369995,216.190002,217.089996,58159500.0,daily
SPY,2016-07-21T00:00:00+00:00,216.960007,217.220001,215.75,216.270004,67777300.0,daily
SPY,2016-07-22T00:00:00+00:00,216.410004,217.300003,216.100006,217.240005,62787500.0,daily
SPY,2016-07-25T00:00:00+00:00,217.0,217.059998,215.970001,216.649994,55873100.0,daily
SPY,2016-07-26T00:00:00+00:00,216.529999,217.169998,215.759995,216.75,70080500.0,daily
SPY,2016-07-27T00:00:00+00:00,217.190002,217.270004,215.619995,216.520004,84083900.0,daily
SPY,2016-07-28T00:00:00+00:00,216.289993,217.110001,215.75,216.770004,65035700.0,daily
SPY,2016-07-29T00:00:00+00:00,216.460007,217.539993,216.130005,217.119995,79519400.0,daily
SPY,2016-08-01T00:00:00+00:00,217.190002,217.649994,216.410004,216.940002,73311400.0,daily
SPY,2016-08-02T00:00:00+00:00,216.649994,216.830002,214.570007,215.550003,92295500.0,daily
